pkg,pkg_manifest,dep_name,kind,req
warp,/workspaces/Cognix/apps/desktop/Cargo.toml,image,normal,^0.25.9
warp,/workspaces/Cognix/apps/desktop/Cargo.toml,regex,normal,^1.11.1
warp,/workspaces/Cognix/apps/desktop/Cargo.toml,reqwest,normal,^0.12.28
warp,/workspaces/Cognix/apps/desktop/Cargo.toml,serde_json,normal,^1.0
warp,/workspaces/Cognix/apps/desktop/Cargo.toml,serde_yaml,normal,^0.8
warp,/workspaces/Cognix/apps/desktop/Cargo.toml,git2,normal,^0.20.4
warp,/workspaces/Cognix/apps/desktop/Cargo.toml,tokio,normal,^1.47.1
warp,/workspaces/Cognix/apps/desktop/Cargo.toml,wasm-bindgen,normal,^0.2.89
warp_completer,/workspaces/Cognix/core/warp_completer/Cargo.toml,regex,normal,^1.11.1
warp_core,/workspaces/Cognix/core/warp_core/Cargo.toml,regex,normal,^1.11.1
warp_core,/workspaces/Cognix/core/warp_core/Cargo.toml,reqwest,normal,^0.12.28
warp_core,/workspaces/Cognix/core/warp_core/Cargo.toml,serde_json,normal,^1.0
warp_core,/workspaces/Cognix/core/warp_core/Cargo.toml,tokio,normal,^1.47.1
warp_core_base,/workspaces/Cognix/core/warp_core_base/Cargo.toml,reqwest,normal,^0.12.28
warp_core_base,/workspaces/Cognix/core/warp_core_base/Cargo.toml,tokio,normal,^1.47.1
warp_graphql,/workspaces/Cognix/core/warp_graphql/Cargo.toml,reqwest,normal,^0.12.28
warp_isolation_platform,/workspaces/Cognix/core/warp_isolation_platform/Cargo.toml,serde_json,normal,^1.0
warp_logging,/workspaces/Cognix/core/warp_logging/Cargo.toml,wasm-bindgen,normal,^0.2.89
warp_managed_secrets,/workspaces/Cognix/core/warp_managed_secrets/Cargo.toml,serde_json,normal,^1.0
warp_ripgrep,/workspaces/Cognix/core/warp_ripgrep/Cargo.toml,serde_json,normal,^1.0
warp_terminal,/workspaces/Cognix/core/warp_terminal/Cargo.toml,regex,normal,^1.11.1
warp_util,/workspaces/Cognix/core/warp_util/Cargo.toml,regex,normal,^1.11.1
warp_util,/workspaces/Cognix/core/warp_util/Cargo.toml,serde_json,normal,^1.0
ai,/workspaces/Cognix/crates/ai/Cargo.toml,regex,normal,^1.11.1
ai,/workspaces/Cognix/crates/ai/Cargo.toml,serde_json,normal,^1.0
ai,/workspaces/Cognix/crates/ai/Cargo.toml,serde_yaml,normal,^0.8
ai,/workspaces/Cognix/crates/ai/Cargo.toml,tokio,normal,^1.47.1
ai,/workspaces/Cognix/crates/ai/Cargo.toml,tokio,normal,^1.47.1
app-installation-detection,/workspaces/Cognix/crates/app-installation-detection/Cargo.toml,tokio,normal,^1.37
asset_cache,/workspaces/Cognix/crates/asset_cache/Cargo.toml,reqwest,normal,^0.12.28
asset_macro,/workspaces/Cognix/crates/asset_macro/Cargo.toml,proc-macro2,normal,^1
asset_macro,/workspaces/Cognix/crates/asset_macro/Cargo.toml,quote,normal,^1
asset_macro,/workspaces/Cognix/crates/asset_macro/Cargo.toml,syn,normal,^2
channel_versions,/workspaces/Cognix/crates/channel_versions/Cargo.toml,regex,normal,^1
channel_versions,/workspaces/Cognix/crates/channel_versions/Cargo.toml,serde_json,normal,^1.0
computer_use,/workspaces/Cognix/crates/computer_use/Cargo.toml,tokio,normal,^1.47.1
computer_use,/workspaces/Cognix/crates/computer_use/Cargo.toml,image,normal,^0.25.9
computer_use,/workspaces/Cognix/crates/computer_use/Cargo.toml,image,normal,^0.25.9
computer_use,/workspaces/Cognix/crates/computer_use/Cargo.toml,image,normal,^0.25.9
warp_editor,/workspaces/Cognix/crates/editor/Cargo.toml,serde_yaml,normal,^0.8
http_client,/workspaces/Cognix/crates/http_client/Cargo.toml,reqwest,normal,^0.12.28
http_client,/workspaces/Cognix/crates/http_client/Cargo.toml,serde_json,normal,^1.0
