pkg,pkg_manifest,dep,dep_manifest,pkg_layer,dep_layer,layer_delta
integration,/workspaces/Cognix/crates/integration/Cargo.toml,warp,/workspaces/Cognix/apps/desktop/Cargo.toml,0,3,3
watcher,/workspaces/Cognix/crates/watcher/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
warp_editor,/workspaces/Cognix/crates/editor/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
voice_input,/workspaces/Cognix/crates/voice_input/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
vim,/workspaces/Cognix/crates/vim/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
syntax_tree,/workspaces/Cognix/crates/syntax_tree/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
simple_logger,/workspaces/Cognix/crates/simple_logger/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
settings,/workspaces/Cognix/crates/settings/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
settings,/workspaces/Cognix/crates/settings/Cargo.toml,warpui_extras,/workspaces/Cognix/ui/warpui_extras/Cargo.toml,0,2,2
repo_metadata,/workspaces/Cognix/crates/repo_metadata/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
onboarding,/workspaces/Cognix/crates/onboarding/Cargo.toml,ui_components,/workspaces/Cognix/ui/ui_components/Cargo.toml,0,2,2
onboarding,/workspaces/Cognix/crates/onboarding/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
lsp,/workspaces/Cognix/crates/lsp/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
jsonrpc,/workspaces/Cognix/crates/jsonrpc/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
ipc,/workspaces/Cognix/crates/ipc/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
integration,/workspaces/Cognix/crates/integration/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
integration,/workspaces/Cognix/crates/integration/Cargo.toml,warpui_extras,/workspaces/Cognix/ui/warpui_extras/Cargo.toml,0,2,2
http_server,/workspaces/Cognix/crates/http_server/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
handlebars,/workspaces/Cognix/crates/handlebars/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
computer_use,/workspaces/Cognix/crates/computer_use/Cargo.toml,warpui,/workspaces/Cognix/ui/warpui/Cargo.toml,0,2,2
